ENSDI-FGSM,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],inception_v3,0.3627,0.0220,0.3635*,0.3635*,0.3635*,0.0223*,0.0223*,0.0223*
ENSMI-FGSM,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],inception_v3,0.2315,0.0030,0.2315*,0.2315*,0.2315*,0.0030*,0.0030*,0.0030*
ENSBAP,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],inception_v3,0.6864,0.1573,0.6864*,0.6864*,0.6864*,0.1573*,0.1573*,0.1573*
ENSTI-FGSM,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],inception_v3,0.3096,0.0070,0.3096*,0.3096*,0.3096*,0.0070*,0.0070*,0.0070*
ENSSIT,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],inception_v3,0.4639,0.0571,0.4634*,0.4634*,0.4634*,0.0575*,0.0575*,0.0575*
ENSPoincare,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],inception_v3,0.3377,0.0251,0.3384*,0.3384*,0.3384*,0.0257*,0.0257*,0.0257*
