40,Poincare,resnet50,vgg19,0.7134,0.0591,0.7134*,0.7134*,0.7134*,0.0591*,0.0591*,0.0591*
10,MI-FGSM,resnet50,vgg19,0.4289,0.0040,0.4289*,0.4289*,0.4289*,0.0040*,0.0040*,0.0040*
20,MI-FGSM,resnet50,vgg19,0.4699,0.0050,0.4699*,0.4699*,0.4699*,0.0050*,0.0050*,0.0050*
30,MI-FGSM,resnet50,vgg19,0.4539,0.0080,0.4539*,0.4539*,0.4539*,0.0080*,0.0080*,0.0080*
40,MI-FGSM,resnet50,vgg19,0.4659,0.0050,0.4659*,0.4659*,0.4659*,0.0050*,0.0050*,0.0050*
10,VMI-FGSM,resnet50,vgg19,0.5621,0.0351,0.5621*,0.5621*,0.5621*,0.0351*,0.0351*,0.0351*
20,VMI-FGSM,resnet50,vgg19,0.6413,0.0371,0.6413*,0.6413*,0.6413*,0.0371*,0.0371*,0.0371*
30,VMI-FGSM,resnet50,vgg19,0.6443,0.0361,0.6443*,0.6443*,0.6443*,0.0361*,0.0361*,0.0361*
40,VMI-FGSM,resnet50,vgg19,0.6413,0.0291,0.6413*,0.6413*,0.6413*,0.0291*,0.0291*,0.0291*
10,VNI-FGSM,resnet50,vgg19,0.5822,0.0311,0.5822*,0.5822*,0.5822*,0.0311*,0.0311*,0.0311*
20,VNI-FGSM,resnet50,vgg19,0.6794,0.0220,0.6794*,0.6794*,0.6794*,0.0221*,0.0221*,0.0221*
30,VNI-FGSM,resnet50,vgg19,0.6613,0.0240,0.6613*,0.6613*,0.6613*,0.0240*,0.0240*,0.0240*
40,VNI-FGSM,resnet50,vgg19,0.6513,0.0261,0.6513*,0.6513*,0.6513*,0.0261*,0.0261*,0.0261*
10,BAP,resnet50,vgg19,0.8898,0.1894,0.8898*,0.8898*,0.8898*,0.1894*,0.1894*,0.1894*
20,BAP,resnet50,vgg19,0.9248,0.2866,0.9248*,0.9248*,0.9248*,0.2866*,0.2866*,0.2866*
30,BAP,resnet50,vgg19,0.9349,0.3206,0.9349*,0.9349*,0.9349*,0.3206*,0.3206*,0.3206*
40,BAP,resnet50,vgg19,0.9349,0.3287,0.9349*,0.9349*,0.9349*,0.3287*,0.3287*,0.3287*
10,SIT,resnet50,vgg19,0.7545,0.1473,0.7545*,0.7545*,0.7545*,0.1476*,0.1476*,0.1476*
20,SIT,resnet50,vgg19,0.7986,0.2034,0.7986*,0.7986*,0.7986*,0.2034*,0.2034*,0.2034*
30,SIT,resnet50,vgg19,0.8036,0.2204,0.8036*,0.8036*,0.8036*,0.2204*,0.2204*,0.2204*
40,SIT,resnet50,vgg19,0.8307,0.2695,0.8307*,0.8307*,0.8307*,0.2695*,0.2695*,0.2695*
10,DI-FGSM,resnet50,inception_v3,0.3126,0.0190,0.3129*,0.3129*,0.3129*,0.0194*,0.0194*,0.0194*
20,DI-FGSM,resnet50,inception_v3,0.3287,0.0251,0.3287*,0.3287*,0.3287*,0.0251*,0.0251*,0.0251*
30,DI-FGSM,resnet50,inception_v3,0.3327,0.0190,0.3327*,0.3327*,0.3327*,0.0190*,0.0190*,0.0190*
40,DI-FGSM,resnet50,inception_v3,0.3547,0.0301,0.3547*,0.3547*,0.3547*,0.0301*,0.0301*,0.0301*
10,TI-FGSM,resnet50,inception_v3,0.3697,0.0220,0.3701*,0.3701*,0.3701*,0.0224*,0.0224*,0.0224*
20,TI-FGSM,resnet50,inception_v3,0.4028,0.0431,0.4028*,0.4028*,0.4028*,0.0431*,0.0431*,0.0431*
30,TI-FGSM,resnet50,inception_v3,0.4158,0.0471,0.4158*,0.4158*,0.4158*,0.0471*,0.0471*,0.0471*
40,TI-FGSM,resnet50,inception_v3,0.4198,0.0511,0.4198*,0.4198*,0.4198*,0.0511*,0.0511*,0.0511*
10,Poincare,resnet50,inception_v3,0.3056,0.0210,0.3056*,0.3056*,0.3056*,0.0206*,0.0206*,0.0206*
20,Poincare,resnet50,inception_v3,0.3327,0.0321,0.3327*,0.3327*,0.3327*,0.0321*,0.0321*,0.0321*
30,Poincare,resnet50,inception_v3,0.3407,0.0261,0.3407*,0.3407*,0.3407*,0.0261*,0.0261*,0.0261*
40,Poincare,resnet50,inception_v3,0.3527,0.0351,0.3527*,0.3527*,0.3527*,0.0351*,0.0351*,0.0351*
10,MI-FGSM,resnet50,inception_v3,0.1623,0.0010,0.1623*,0.1623*,0.1623*,0.0010*,0.0010*,0.0010*
20,MI-FGSM,resnet50,inception_v3,0.1663,0.0010,0.1663*,0.1663*,0.1663*,0.0010*,0.0010*,0.0010*
30,MI-FGSM,resnet50,inception_v3,0.1323,0.0010,0.1323*,0.1323*,0.1323*,0.0010*,0.0010*,0.0010*
40,MI-FGSM,resnet50,inception_v3,0.1503,0.0010,0.1503*,0.1503*,0.1503*,0.0010*,0.0010*,0.0010*
10,VMI-FGSM,resnet50,inception_v3,0.3036,0.0180,0.3036*,0.3036*,0.3036*,0.0180*,0.0180*,0.0180*
20,VMI-FGSM,resnet50,inception_v3,0.3287,0.0240,0.3287*,0.3287*,0.3287*,0.0240*,0.0240*,0.0240*
30,VMI-FGSM,resnet50,inception_v3,0.3096,0.0180,0.3096*,0.3096*,0.3096*,0.0180*,0.0180*,0.0180*
40,VMI-FGSM,resnet50,inception_v3,0.2896,0.0180,0.2896*,0.2896*,0.2896*,0.0180*,0.0180*,0.0180*
10,VNI-FGSM,resnet50,inception_v3,0.3226,0.0210,0.3226*,0.3226*,0.3226*,0.0211*,0.0211*,0.0211*
20,VNI-FGSM,resnet50,inception_v3,0.3477,0.0230,0.3477*,0.3477*,0.3477*,0.0231*,0.0231*,0.0231*
30,VNI-FGSM,resnet50,inception_v3,0.3327,0.0170,0.3327*,0.3327*,0.3327*,0.0170*,0.0170*,0.0170*
40,VNI-FGSM,resnet50,inception_v3,0.3096,0.0120,0.3096*,0.3096*,0.3096*,0.0120*,0.0120*,0.0120*
10,BAP,resnet50,inception_v3,0.6463,0.1463,0.6463*,0.6463*,0.6463*,0.1463*,0.1463*,0.1463*
20,BAP,resnet50,inception_v3,0.7505,0.2455,0.7505*,0.7505*,0.7505*,0.2455*,0.2455*,0.2455*
30,BAP,resnet50,inception_v3,0.7806,0.2776,0.7806*,0.7806*,0.7806*,0.2776*,0.2776*,0.2776*
40,BAP,resnet50,inception_v3,0.7766,0.2826,0.7766*,0.7766*,0.7766*,0.2826*,0.2826*,0.2826*
10,SIT,resnet50,inception_v3,0.4148,0.0641,0.4148*,0.4148*,0.4148*,0.0643*,0.0643*,0.0643*
20,SIT,resnet50,inception_v3,0.4279,0.0842,0.4279*,0.4279*,0.4279*,0.0842*,0.0842*,0.0842*
30,SIT,resnet50,inception_v3,0.4309,0.0972,0.4309*,0.4309*,0.4309*,0.0972*,0.0972*,0.0972*
40,SIT,resnet50,inception_v3,0.4669,0.1132,0.4669*,0.4669*,0.4669*,0.1132*,0.1132*,0.1132*
10,DI-FGSM,resnet50,densenet121,0.5762,0.0972,0.5767*,0.5767*,0.5767*,0.0992*,0.0992*,0.0992*
20,DI-FGSM,resnet50,densenet121,0.6152,0.1503,0.6152*,0.6152*,0.6152*,0.1505*,0.1505*,0.1505*
30,DI-FGSM,resnet50,densenet121,0.6172,0.1603,0.6172*,0.6172*,0.6172*,0.1603*,0.1603*,0.1603*
40,DI-FGSM,resnet50,densenet121,0.6132,0.1864,0.6132*,0.6132*,0.6132*,0.1864*,0.1864*,0.1864*
10,TI-FGSM,resnet50,densenet121,0.6062,0.1102,0.6068*,0.6068*,0.6068*,0.1122*,0.1122*,0.1122*
20,TI-FGSM,resnet50,densenet121,0.6593,0.2144,0.6593*,0.6593*,0.6593*,0.2144*,0.2144*,0.2144*
30,TI-FGSM,resnet50,densenet121,0.6814,0.2244,0.6814*,0.6814*,0.6814*,0.2244*,0.2244*,0.2244*
40,TI-FGSM,resnet50,densenet121,0.7054,0.2545,0.7054*,0.7054*,0.7054*,0.2545*,0.2545*,0.2545*
10,Poincare,resnet50,densenet121,0.5381,0.1062,0.5381*,0.5381*,0.5381*,0.1081*,0.1081*,0.1081*
20,Poincare,resnet50,densenet121,0.6022,0.1583,0.6022*,0.6022*,0.6022*,0.1585*,0.1585*,0.1585*
30,Poincare,resnet50,densenet121,0.6253,0.1764,0.6253*,0.6253*,0.6253*,0.1764*,0.1764*,0.1764*
40,Poincare,resnet50,densenet121,0.6303,0.1814,0.6303*,0.6303*,0.6303*,0.1814*,0.1814*,0.1814*
10,MI-FGSM,resnet50,densenet121,0.3066,0.0120,0.3066*,0.3066*,0.3066*,0.0120*,0.0120*,0.0120*
20,MI-FGSM,resnet50,densenet121,0.2956,0.0090,0.2956*,0.2956*,0.2956*,0.0090*,0.0090*,0.0090*
30,MI-FGSM,resnet50,densenet121,0.2826,0.0040,0.2826*,0.2826*,0.2826*,0.0040*,0.0040*,0.0040*
40,MI-FGSM,resnet50,densenet121,0.2906,0.0090,0.2906*,0.2906*,0.2906*,0.0090*,0.0090*,0.0090*
10,VMI-FGSM,resnet50,densenet121,0.5261,0.0651,0.5261*,0.5261*,0.5261*,0.0651*,0.0651*,0.0651*
20,VMI-FGSM,resnet50,densenet121,0.5511,0.0882,0.5511*,0.5511*,0.5511*,0.0882*,0.0882*,0.0882*
30,VMI-FGSM,resnet50,densenet121,0.5351,0.0842,0.5351*,0.5351*,0.5351*,0.0842*,0.0842*,0.0842*
40,VMI-FGSM,resnet50,densenet121,0.5301,0.0822,0.5301*,0.5301*,0.5301*,0.0822*,0.0822*,0.0822*
10,VNI-FGSM,resnet50,densenet121,0.5401,0.0591,0.5401*,0.5401*,0.5401*,0.0592*,0.0592*,0.0592*
20,VNI-FGSM,resnet50,densenet121,0.5952,0.0752,0.5952*,0.5952*,0.5952*,0.0752*,0.0752*,0.0752*
30,VNI-FGSM,resnet50,densenet121,0.5551,0.0721,0.5551*,0.5551*,0.5551*,0.0721*,0.0721*,0.0721*
40,VNI-FGSM,resnet50,densenet121,0.5371,0.0601,0.5371*,0.5371*,0.5371*,0.0601*,0.0601*,0.0601*
10,BAP,resnet50,densenet121,0.9078,0.4248,0.9078*,0.9078*,0.9078*,0.4248*,0.4248*,0.4248*
20,BAP,resnet50,densenet121,0.9339,0.5792,0.9339*,0.9339*,0.9339*,0.5792*,0.5792*,0.5792*
30,BAP,resnet50,densenet121,0.9499,0.6333,0.9499*,0.9499*,0.9499*,0.6333*,0.6333*,0.6333*
40,BAP,resnet50,densenet121,0.9579,0.6373,0.9579*,0.9579*,0.9579*,0.6373*,0.6373*,0.6373*
10,SIT,resnet50,densenet121,0.7655,0.3487,0.7655*,0.7655*,0.7655*,0.3494*,0.3494*,0.3494*
20,SIT,resnet50,densenet121,0.8106,0.5030,0.8106*,0.8106*,0.8106*,0.5030*,0.5030*,0.5030*
30,SIT,resnet50,densenet121,0.8226,0.5782,0.8226*,0.8226*,0.8226*,0.5782*,0.5782*,0.5782*
