ENSDI-FGSM,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],inception_v3,0.3056,0.0220,0.3062*,0.3062*,0.3062*,0.0223*,0.0223*,0.0223*
ENSMI-FGSM,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],inception_v3,0.1764,0.0060,0.1764*,0.1764*,0.1764*,0.0060*,0.0060*,0.0060*
ENSBAP,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],inception_v3,0.6333,0.1583,0.6333*,0.6333*,0.6333*,0.1583*,0.1583*,0.1583*
ENSTI-FGSM,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],inception_v3,0.2525,0.0090,0.2525*,0.2525*,0.2525*,0.0090*,0.0090*,0.0090*
ENSSIT,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],inception_v3,0.4058,0.0571,0.4062*,0.4062*,0.4062*,0.0575*,0.0575*,0.0575*
ENSPoincare,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],inception_v3,0.2585,0.0220,0.2590*,0.2590*,0.2590*,0.0226*,0.0226*,0.0226*
