LBAP-mixmix,resnet50,wide_resnet50_2,0.8918,0.6443,0.8918*,0.8918*,0.8918*,0.6462*,0.6462*,0.6462*
LBAP-concatenate,resnet50,wide_resnet50_2,0.8487,0.6222,0.8487*,0.8487*,0.8487*,0.6285*,0.6285*,0.6285*
LBAP-parallel,densenet121,resnet50,0.8327,0.5100,0.8327*,0.8327*,0.8327*,0.5105*,0.5105*,0.5105*
LBAP-mixconv,densenet121,resnet50,0.7836,0.4269,0.7836*,0.7836*,0.7836*,0.4281*,0.4281*,0.4281*
LBAP-convmix,densenet121,resnet50,0.7846,0.4228,0.7846*,0.7846*,0.7846*,0.4245*,0.4245*,0.4245*
LBAP-convconv,densenet121,resnet50,0.7154,0.2756,0.7183*,0.7183*,0.7183*,0.2893*,0.2893*,0.2893*
LBAP-mixmix,densenet121,resnet50,0.8357,0.4960,0.8357*,0.8357*,0.8357*,0.4970*,0.4970*,0.4970*
LBAP-concatenate,densenet121,resnet50,0.7776,0.4329,0.7776*,0.7776*,0.7776*,0.4350*,0.4350*,0.4350*
LBAP-parallel,densenet121,vgg19,0.8377,0.2485,0.8377*,0.8377*,0.8377*,0.2487*,0.2487*,0.2487*
LBAP-mixconv,densenet121,vgg19,0.8126,0.1974,0.8126*,0.8126*,0.8126*,0.1980*,0.1980*,0.1980*
LBAP-convmix,densenet121,vgg19,0.8176,0.2024,0.8176*,0.8176*,0.8176*,0.2032*,0.2032*,0.2032*
LBAP-convconv,densenet121,vgg19,0.7796,0.1313,0.7827*,0.7827*,0.7827*,0.1383*,0.1383*,0.1383*
LBAP-mixmix,densenet121,vgg19,0.8547,0.2184,0.8547*,0.8547*,0.8547*,0.2189*,0.2189*,0.2189*
LBAP-concatenate,densenet121,vgg19,0.8176,0.2164,0.8176*,0.8176*,0.8176*,0.2175*,0.2175*,0.2175*
LBAP-parallel,densenet121,inception_v3,0.6323,0.2545,0.6323*,0.6323*,0.6323*,0.2548*,0.2548*,0.2548*
LBAP-mixconv,densenet121,inception_v3,0.5812,0.1994,0.5812*,0.5812*,0.5812*,0.2000*,0.2000*,0.2000*
LBAP-convmix,densenet121,inception_v3,0.6002,0.1974,0.6002*,0.6002*,0.6002*,0.1982*,0.1982*,0.1982*
LBAP-convconv,densenet121,inception_v3,0.5180,0.1082,0.5201*,0.5201*,0.5201*,0.1130*,0.1130*,0.1130*
LBAP-mixmix,densenet121,inception_v3,0.6212,0.2204,0.6212*,0.6212*,0.6212*,0.2209*,0.2209*,0.2209*
LBAP-concatenate,densenet121,inception_v3,0.5832,0.1964,0.5832*,0.5832*,0.5832*,0.1974*,0.1974*,0.1974*
LBAP-parallel,densenet121,densenet121,1.0000,0.9990,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
LBAP-mixconv,densenet121,densenet121,1.0000,0.9930,1.0000*,1.0000*,1.0000*,0.9960*,0.9960*,0.9960*
LBAP-convmix,densenet121,densenet121,1.0000,0.9980,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
LBAP-convconv,densenet121,densenet121,0.9910,0.9228,0.9950*,0.9950*,0.9950*,0.9630*,0.9630*,0.9630*
LBAP-mixmix,densenet121,densenet121,1.0000,0.9990,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
LBAP-concatenate,densenet121,densenet121,1.0000,0.9940,1.0000*,1.0000*,1.0000*,0.9990*,0.9990*,0.9990*
LBAP-parallel,densenet121,wide_resnet50_2,0.7625,0.4329,0.7625*,0.7625*,0.7625*,0.4333*,0.4333*,0.4333*
LBAP-mixconv,densenet121,wide_resnet50_2,0.7335,0.3727,0.7335*,0.7335*,0.7335*,0.3739*,0.3739*,0.3739*
LBAP-convmix,densenet121,wide_resnet50_2,0.7405,0.3707,0.7405*,0.7405*,0.7405*,0.3722*,0.3722*,0.3722*
LBAP-convconv,densenet121,wide_resnet50_2,0.6703,0.2315,0.6730*,0.6730*,0.6730*,0.2397*,0.2397*,0.2397*
LBAP-mixmix,densenet121,wide_resnet50_2,0.7856,0.4068,0.7856*,0.7856*,0.7856*,0.4076*,0.4076*,0.4076*
LBAP-concatenate,densenet121,wide_resnet50_2,0.7194,0.3677,0.7194*,0.7194*,0.7194*,0.3696*,0.3696*,0.3696*
LBAP-parallel,vgg19,resnet50,0.6874,0.2034,0.6874*,0.6874*,0.6874*,0.2038*,0.2038*,0.2038*
LBAP-mixconv,vgg19,resnet50,0.6914,0.2535,0.6914*,0.6914*,0.6914*,0.2571*,0.2571*,0.2571*
LBAP-convmix,vgg19,resnet50,0.6884,0.2385,0.6884*,0.6884*,0.6884*,0.2424*,0.2424*,0.2424*
LBAP-convconv,vgg19,resnet50,0.6944,0.2375,0.6944*,0.6944*,0.6944*,0.2438*,0.2438*,0.2438*
LBAP-mixmix,vgg19,resnet50,0.6643,0.1653,0.6643*,0.6643*,0.6643*,0.1658*,0.1658*,0.1658*
LBAP-concatenate,vgg19,resnet50,0.6914,0.2375,0.6914*,0.6914*,0.6914*,0.2404*,0.2404*,0.2404*
LBAP-parallel,vgg19,vgg19,1.0000,0.9930,1.0000*,1.0000*,1.0000*,0.9950*,0.9950*,0.9950*
LBAP-mixconv,vgg19,vgg19,1.0000,0.9739,1.0000*,1.0000*,1.0000*,0.9868*,0.9868*,0.9868*
LBAP-convmix,vgg19,vgg19,1.0000,0.9800,1.0000*,1.0000*,1.0000*,0.9949*,0.9949*,0.9949*
LBAP-convconv,vgg19,vgg19,0.9980,0.9529,0.9980*,0.9980*,0.9980*,0.9803*,0.9803*,0.9803*
LBAP-mixmix,vgg19,vgg19,1.0000,0.9980,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
LBAP-concatenate,vgg19,vgg19,0.9980,0.9790,0.9980*,0.9980*,0.9980*,0.9899*,0.9899*,0.9899*
LBAP-parallel,vgg19,inception_v3,0.4910,0.0902,0.4910*,0.4910*,0.4910*,0.0904*,0.0904*,0.0904*
LBAP-mixconv,vgg19,inception_v3,0.4960,0.0952,0.4960*,0.4960*,0.4960*,0.0965*,0.0965*,0.0965*
LBAP-convmix,vgg19,inception_v3,0.4910,0.0902,0.4910*,0.4910*,0.4910*,0.0916*,0.0916*,0.0916*
LBAP-convconv,vgg19,inception_v3,0.4840,0.1012,0.4840*,0.4840*,0.4840*,0.1027*,0.1027*,0.1027*
LBAP-mixmix,vgg19,inception_v3,0.4539,0.0621,0.4539*,0.4539*,0.4539*,0.0623*,0.0623*,0.0623*
LBAP-concatenate,vgg19,inception_v3,0.5030,0.1092,0.5030*,0.5030*,0.5030*,0.1105*,0.1105*,0.1105*
LBAP-parallel,vgg19,densenet121,0.7204,0.2275,0.7204*,0.7204*,0.7204*,0.2279*,0.2279*,0.2279*
LBAP-mixconv,vgg19,densenet121,0.7244,0.2435,0.7244*,0.7244*,0.7244*,0.2470*,0.2470*,0.2470*
LBAP-convmix,vgg19,densenet121,0.7295,0.2435,0.7295*,0.7295*,0.7295*,0.2475*,0.2475*,0.2475*
LBAP-convconv,vgg19,densenet121,0.7345,0.2545,0.7345*,0.7345*,0.7345*,0.2573*,0.2573*,0.2573*
LBAP-mixmix,vgg19,densenet121,0.6904,0.1824,0.6904*,0.6904*,0.6904*,0.1829*,0.1829*,0.1829*
LBAP-concatenate,vgg19,densenet121,0.7425,0.2455,0.7425*,0.7425*,0.7425*,0.2485*,0.2485*,0.2485*
LBAP-parallel,vgg19,wide_resnet50_2,0.5812,0.1333,0.5812*,0.5812*,0.5812*,0.1335*,0.1335*,0.1335*
LBAP-mixconv,vgg19,wide_resnet50_2,0.5932,0.1613,0.5932*,0.5932*,0.5932*,0.1636*,0.1636*,0.1636*
LBAP-convmix,vgg19,wide_resnet50_2,0.5902,0.1573,0.5902*,0.5902*,0.5902*,0.1599*,0.1599*,0.1599*
LBAP-convconv,vgg19,wide_resnet50_2,0.5872,0.1593,0.5872*,0.5872*,0.5872*,0.1608*,0.1608*,0.1608*
LBAP-mixmix,vgg19,wide_resnet50_2,0.5421,0.1012,0.5421*,0.5421*,0.5421*,0.1015*,0.1015*,0.1015*
LBAP-concatenate,vgg19,wide_resnet50_2,0.5952,0.1543,0.5952*,0.5952*,0.5952*,0.1562*,0.1562*,0.1562*
LBAP-parallel,wide_resnet50_2,resnet50,0.9068,0.6232,0.9068*,0.9068*,0.9068*,0.6264*,0.6264*,0.6264*
LBAP-mixconv,wide_resnet50_2,resnet50,0.8988,0.6062,0.8988*,0.8988*,0.8988*,0.6130*,0.6130*,0.6130*
LBAP-convmix,wide_resnet50_2,resnet50,0.9028,0.5942,0.9028*,0.9028*,0.9028*,0.6008*,0.6008*,0.6008*
LBAP-convconv,wide_resnet50_2,resnet50,0.8848,0.5661,0.8848*,0.8848*,0.8848*,0.5771*,0.5771*,0.5771*
LBAP-mixmix,wide_resnet50_2,resnet50,0.9058,0.6122,0.9058*,0.9058*,0.9058*,0.6159*,0.6159*,0.6159*
